Transaction_ID,Item_Name,Date,Quantity,Price
1001,Milk,2023-01-15,2,3.99
1001,Bread,2023-01-15,1,2.49
1001,Eggs,2023-01-15,1,4.99
1002,Chips,2023-01-16,2,3.49
1002,Soda,2023-01-16,1,1.99
1003,Milk,2023-01-17,1,3.99
1003,Cereal,2023-01-17,1,5.99
1004,Beer,2023-01-18,6,8.99
1004,Chips,2023-01-18,2,3.49
1005,Milk,2023-01-19,2,3.99
1005,Bread,2023-01-19,2,2.49
1006,Coffee,2023-02-20,1,7.99
1006,Milk,2023-02-20,1,3.99
1007,Diapers,2023-02-21,1,12.99
1007,Baby_Wipes,2023-02-21,2,4.99
1008,Pizza,2023-02-22,1,8.99
1008,Soda,2023-02-22,2,1.99
1009,Milk,2023-02-23,1,3.99
1009,Cereal,2023-02-23,1,5.99
1010,Wine,2023-03-24,1,15.99
1010,Cheese,2023-03-24,1,6.99
1011,Milk,2023-03-25,2,3.99
1011,Bread,2023-03-25,1,2.49
1012,Chicken,2023-03-26,2,9.99
1012,Rice,2023-03-26,1,4.99
1013,Milk,2023-04-27,1,3.99
1013,Eggs,2023-04-27,2,4.99
1014,Ice_Cream,2023-04-28,1,5.99
1014,Soda,2023-04-28,2,1.99
1015,Milk,2023-05-29,2,3.99
1015,Cereal,2023-05-29,1,5.99
1016,Hot_Dogs,2023-05-30,1,4.99
1016,Buns,2023-05-30,1,2.99
1017,Milk,2023-06-01,1,3.99
1017,Bread,2023-06-01,2,2.49
1018,Watermelon,2023-06-02,1,7.99
1018,Ice_Cream,2023-06-02,2,5.99
1019,Milk,2023-07-03,2,3.99
1019,Eggs,2023-07-03,1,4.99
1020,Grilling_Meat,2023-07-04,1,12.99
1020,Beer,2023-07-04,6,8.99
1021,Milk,2023-08-05,1,3.99
1021,Cereal,2023-08-05,1,5.99
1022,Sunscreen,2023-08-06,1,8.99
1022,Soda,2023-08-06,3,1.99
1023,Milk,2023-09-07,2,3.99
1023,Bread,2023-09-07,1,2.49
1024,Notebooks,2023-09-08,2,2.99
1024,Pens,2023-09-08,1,1.99
1025,Milk,2023-10-09,1,3.99
1025,Eggs,2023-10-09,2,4.99
1026,Pumpkin,2023-10-10,1,4.99
1026,Candy,2023-10-10,2,3.99
1027,Milk,2023-11-11,2,3.99
1027,Cereal,2023-11-11,1,5.99
1028,Turkey,2023-11-12,1,19.99
1028,Stuffing,2023-11-12,1,3.99
1029,Milk,2023-12-13,1,3.99
1029,Bread,2023-12-13,2,2.49
1030,Christmas_Cookies,2023-12-14,1,5.99
1030,Hot_Cocoa,2023-12-14,2,3.99
1031,Milk,2024-01-15,2,3.99
1031,Eggs,2024-01-15,1,4.99
1032,Soup,2024-01-16,2,2.99
1032,Bread,2024-01-16,1,2.49
1033,Milk,2024-02-17,1,3.99
1033,Cereal,2024-02-17,1,5.99
1034,Valentine_Candy,2024-02-18,1,6.99
1034,Wine,2024-02-18,1,15.99
1035,Milk,2024-03-19,2,3.99
1035,Bread,2024-03-19,1,2.49
1036,Easter_Eggs,2024-03-20,1,4.99
1036,Ham,2024-03-20,1,12.99
1037,Milk,2024-04-21,1,3.99
1037,Eggs,2024-04-21,2,4.99
1038,Salad,2024-04-22,1,6.99
1038,Dressing,2024-04-22,1,3.99
1039,Milk,2024-05-23,2,3.99
1039,Cereal,2024-05-23,1,5.99
1040,Burger_Patties,2024-05-24,1,8.99
1040,Buns,2024-05-24,1,2.99
1041,Milk,2024-06-25,1,3.99
1041,Bread,2024-06-25,2,2.49
1042,Hot_Dogs,2024-06-26,1,4.99
1042,Ketchup,2024-06-26,1,3.99
1043,Milk,2024-07-27,2,3.99
1043,Eggs,2024-07-27,1,4.99
1044,Ice_Cream,2024-07-28,1,5.99
1044,Popsicles,2024-07-28,2,2.99
1045,Milk,2024-08-29,1,3.99
1045,Cereal,2024-08-29,1,5.99
1046,Grilling_Meat,2024-08-30,1,12.99
1046,Corn,2024-08-30,2,1.99
1047,Milk,2024-09-31,2,3.99
1047,Bread,2024-09-31,1,2.49
1048,School_Supplies,2024-09-01,1,15.99
1048,Backpack,2024-09-01,1,25.99
1049,Milk,2024-10-02,1,3.99
1049,Eggs,2024-10-02,2,4.99
1050,Halloween_Candy,2024-10-03,1,7.99
1050,Decorations,2024-10-03,1,12.99
